Date/Time,Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),AHU1 LIGHTS:Lights Electric Power [W](Hourly),AHU2 LIGHTS:Lights Electric Power [W](Hourly),AHU3 LIGHTS:Lights Electric Power [W](Hourly),AHU4 LIGHTS:Lights Electric Power [W](Hourly),AHU1:Zone Thermostat Air Temperature [C](Hourly),AHU1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU2:Zone Thermostat Air Temperature [C](Hourly),AHU2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU3:Zone Thermostat Air Temperature [C](Hourly),AHU3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU1 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU2 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU3 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU4 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRFCOOLCAPFT:Performance Curve Output Value [](Hourly) 
 01/30  16:00:00,0,6,215,839,274,65,22.22313962,22.22,22.22239056,22.22,22.22241158,22.22,22.22,5103.731499,3695.452485,3779.596402,848.3334533,14862.7222,0.469004686,0.584961515
 01/30  17:00:00,0,6,222,850,350,57,22.22256693,22.22,22.2221126,22.22,22.22211311,22.22,22.22,4812.055787,3620.688826,3275.617785,857.5029728,13998.13643,0.455032276,0.567854925
 01/30  18:00:00,0,6,222,843,342,65,22.22191035,22.22,22.22110394,22.22,22.22152559,22.22,22.22,4907.370381,3364.193582,2923.298378,841.0113207,13466.09102,0.442099552,0.562387553
 01/30  19:00:00,0,6,222,849,338,65,22.22024973,22.22,22.2201998,22.22,22.22020916,22.22,22.22,2793.861451,2460.420056,1278.627916,831.2132316,8776.237181,0.285854665,0.56683746
 01/30  20:00:00,0,6,96,163,106,65,24.40245938,25.56,23.7339812,25.56,23.45677031,25.56,25.56,0,0,0,0,0,0,0.567743109
 01/30  21:00:00,0,6,8,13,9,65,25.38943256,25.56,24.39473276,25.56,24.0190684,25.56,25.56,0,0,0,0,0,0,0.567743109
 01/30  22:00:00,0,6,152,512,196,65,25.55422842,25.56,24.92142333,25.56,24.20526144,25.56,25.56,0,0,0,687.2217257,751.6447317,0.1275,0.625179948
 01/30  23:00:00,0,6,0,14,0,65,25.35122465,25.56,24.59856834,25.56,23.86346176,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/30  24:00:00,0,6,0,14,0,65,25.07163278,25.56,24.25437126,25.56,23.44681273,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  01:00:00,0,7,0,14,0,65,24.86112132,25.56,24.05805647,25.56,23.17577591,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  02:00:00,0,7,0,10,0,65,24.65379688,25.56,23.90819827,25.56,22.91533575,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  03:00:00,0,7,0,14,0,65,24.54023984,25.56,23.86004519,25.56,22.77816086,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  04:00:00,0,7,0,13,0,65,24.43663804,25.56,23.81180708,25.56,22.66160404,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  05:00:00,0,7,0,14,0,65,24.34250932,25.56,23.73372859,25.56,22.56519676,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  06:00:00,0,7,0,13,0,65,24.25969435,25.56,23.69679368,25.56,22.48173832,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  07:00:00,0,7,0,11,0,65,24.26475509,25.56,23.74006024,25.56,22.50931694,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  08:00:00,0,7,201,10,175,65,24.49224015,25.56,24.1566987,25.56,22.80595555,25.56,25.56,0,0,0,0,0,0,0.607721173
 01/31  09:00:00,0,7,222,316,239,65,22.24154209,22.22,22.23532211,22.22,21.64558831,22.22,22.22,560.4854793,436.987329,83.01572998,1444.18145,3393.597064,0.172093996,0.591427565
 01/31  10:00:00,0,7,163,828,284,65,22.22063765,22.22,22.22068995,22.22,22.0641464,22.22,22.22,863.0221351,1563.596208,1.793810977,1051.980825,4571.304418,0.152864526,0.603076069
 01/31  11:00:00,0,7,205,846,284,65,22.22108788,22.22,22.22073827,22.22,22.21792309,22.22,22.22,2017.181522,2377.783811,737.2061029,921.0275838,7460.233772,0.223456611,0.615897543
 01/31  12:00:00,0,7,221,855,307,65,22.22196714,22.22,22.22136447,22.22,22.22147616,22.22,22.22,3013.632698,3341.385095,1512.069314,874.3253475,10158.86392,0.30013029,0.624800881
 01/31  13:00:00,0,7,223,815,341,65,22.22284547,22.22,22.22202206,22.22,22.22224879,22.22,22.22,3610.347667,3674.535738,1882.555109,857.6486368,11447.5128,0.336787054,0.627510298
 01/31  14:00:00,0,7,223,819,337,65,22.22288522,22.22,22.22210651,22.22,22.22226212,22.22,22.22,3748.717281,3701.352383,2587.156562,852.6408677,12315.64373,0.36509318,0.62273666
 01/31  15:00:00,0,7,222,875,288,65,22.22259622,22.22,22.22192542,22.22,22.22203369,22.22,22.22,3620.036229,3617.725511,2331.058563,852.0258693,11844.80537,0.35369289,0.618254001
 01/31  16:00:00,0,7,223,848,336,65,22.22040687,22.22,22.22033299,22.22,22.22032485,22.22,22.22,3470.968776,3312.877389,2286.724355,848.4350044,11341.02011,0.338169141,0.619202377
 01/31  17:00:00,0,7,124,374,156,65,22.22000551,22.22,22.22000611,22.22,22.22000463,22.22,22.22,3152.323059,2551.754087,1585.821645,840.9741434,9545.958585,0.28260199,0.623603866
 01/31  18:00:00,0,7,0,11,0,65,25.05071251,25.56,24.28284323,25.56,24.51506907,25.56,25.56,791.0891824,0,0,368.9510954,1290.047907,9.17E-02,0.655307548
 01/31  19:00:00,0,7,0,8,0,65,25.56024046,25.56,24.97246029,25.56,25.00253238,25.56,25.56,298.406473,0,0,580.5074075,1076.185525,0.15,0.637394185
 01/31  20:00:00,0,7,119,655,156,65,25.5600929,25.56,25.36023305,25.56,24.68086867,25.56,25.56,111.0057497,0,0,611.281268,918.9517398,0.15,0.627700777
 01/31  21:00:00,0,7,56,73,62,65,25.56006841,25.56,25.05257417,25.56,24.3611588,25.56,25.56,0,0,0,623.8808358,710.6681014,0.15,0.614162407
 01/31  22:00:00,0,7,0,14,0,65,25.52120615,25.56,24.73335911,25.56,24.07609605,25.56,25.56,0,0,0,0,0,0,0.611857284
 01/31  23:00:00,0,7,0,18,0,65,25.45938649,25.56,24.63622145,25.56,23.93356542,25.56,25.56,0,0,0,0,0,0,0.611857284
 01/31  24:00:00,0,7,0,13,0,65,25.40364465,25.56,24.61092135,25.56,23.8502393,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  01:00:00,0,1,0,14,0,65,25.38965792,25.56,24.66565838,25.56,23.83743827,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  02:00:00,0,1,0,14,0,65,25.28172385,25.56,24.61382684,25.56,23.71889367,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  03:00:00,0,1,0,14,0,65,25.15878668,25.56,24.59894595,25.56,23.57488898,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  04:00:00,0,1,0,14,0,65,25.12964899,25.56,24.64754473,25.56,23.55091835,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  05:00:00,0,1,0,15,0,65,25.01070366,25.56,24.55010775,25.56,23.41513172,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  06:00:00,0,1,0,14,0,65,24.8838788,25.56,24.48152529,25.56,23.26993102,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  07:00:00,0,1,0,15,0,65,24.76751884,25.56,24.41378301,25.56,23.13086041,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  08:00:00,0,1,0,14,0,65,24.7813067,25.56,24.41378649,25.56,23.16562251,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  09:00:00,0,1,0,14,0,65,24.9180912,25.56,24.55394227,25.56,23.36346164,25.56,25.56,0,0,0,0,0,0,0.611857284
 02/01  10:00:00,0,1,0,15,0,65,25.46123792,25.56,25.17231122,25.56,24.27972289,25.56,25.56,300.5510098,0,0,681.3784708,1162.182075,8.75E-02,0.646752504
 02/01  11:00:00,0,1,0,120,0,65,25.56046478,25.56,25.5503827,25.56,25.29060678,25.56,25.56,924.269396,60.96190493,0,849.9632543,2663.358341,0.15,0.654768487
 02/01  12:00:00,0,1,0,117,0,65,25.56071173,25.56,25.55999638,25.56,25.55016128,25.56,25.56,1248.150334,373.6724755,0,770.588874,3445.757597,0.15,0.664505837
 02/01  13:00:00,0,1,0,132,0,65,25.56081908,25.56,25.56032863,25.56,25.56002289,25.56,25.56,1402.658419,493.8855497,0,747.929904,3779.771668,0.15,0.666494641
 02/01  14:00:00,0,1,0,46,0,65,25.56076202,25.56,25.56027505,25.56,25.56009461,25.56,25.56,1467.540021,350.9862683,108.2642883,742.4963974,4063.209213,0.15,0.669864721
 02/01  15:00:00,0,1,78,258,90,65,25.5607702,25.56,25.56026818,25.56,25.5600881,25.56,25.56,1388.562092,402.8721288,69.27955684,737.3025316,3981.175558,0.15,0.671905317
 02/01  16:00:00,0,1,104,80,84,65,25.56065845,25.56,25.56010047,25.56,25.56011778,25.56,25.56,1161.235693,31.39767593,0,722.7992777,3118.873554,0.15,0.672567943
 02/01  17:00:00,0,1,67,52,65,65,25.56053687,25.56,25.5600941,25.56,25.56019207,25.56,25.56,1039.391534,0,0,715.0428448,2698.984408,0.15,0.674261013
 02/01  18:00:00,0,1,197,144,198,65,25.56059129,25.56,25.56012416,25.56,25.56017928,25.56,25.56,1128.251511,0,0,696.5100488,2761.983909,0.15,0.679569815
 02/01  19:00:00,0,1,45,15,39,65,25.56036255,25.56,25.55947094,25.56,25.34977356,25.56,25.56,578.9872676,0,0,693.7743064,1564.79287,0.15,0.658895865
 02/01  20:00:00,0,1,0,14,0,65,25.56016322,25.56,25.45190122,25.56,24.90567013,25.56,25.56,224.20575,0,0,672.3711715,1093.917009,0.15,0.641772028
